x,y,dt
1416.7,1861.1,0.0231
916.7,305.6,0.0056
83.3,27.8,0.9000
1527.8,83.3,0.0817
1083.3,1194.4,0.9000
2305.6,694.4,0.2621
805.6,638.9,0.0012
694.4,750.0,0.0002
1361.1,638.9,0.0196
2861.1,1416.7,0.0000
416.7,527.8,0.0000
1805.6,1305.6,0.0174
2416.7,1250.0,0.0000
2472.2,1083.3,0.0000
2805.6,361.1,0.0602
1027.8,1527.8,0.0131
1027.8,250.0,0.0114
1416.7,1527.8,0.0140
83.3,361.1,0.0000
1138.9,1083.3,0.9000
2638.9,916.7,0.0000
194.4,1194.4,0.0000
1138.9,1972.2,0.6729
2583.3,472.2,0.0080
416.7,750.0,0.0000
2916.7,1583.3,0.0000
1583.3,194.4,0.0098
1083.3,583.3,0.0069
694.4,1527.8,0.0223
2027.8,361.1,0.0053
1583.3,972.2,0.9000
2250.0,1027.8,0.0000
805.6,1027.8,0.0015
416.7,416.7,0.0000
1472.2,1194.4,0.0378
750.0,1416.7,0.9000
1083.3,27.8,0.8209
416.7,1250.0,0.0000
1805.6,527.8,0.0182
1527.8,472.2,0.0134
2416.7,194.4,0.0009
1138.9,583.3,0.0096
638.9,638.9,0.0002
1750.0,194.4,0.0066
2750.0,1083.3,0.0000
638.9,1583.3,0.0243
861.1,472.2,0.0013
1138.9,805.6,0.0191
361.1,1527.8,0.0063
250.0,305.6,0.0000
1472.2,27.8,0.6962
972.2,1583.3,0.0077
2916.7,1194.4,0.0000
1083.3,305.6,0.0037
2027.8,1027.8,0.0124
1305.6,1416.7,0.0231
1527.8,861.1,0.0457
2861.1,750.0,0.0000
2194.4,1916.7,0.9000
1250.0,83.3,0.1175
83.3,194.4,0.0000
694.4,1805.6,0.0000
805.6,750.0,0.0015
2138.9,916.7,0.0074
2194.4,1027.8,0.0018
2138.9,805.6,0.1810
2972.2,638.9,0.9000
972.2,1750.0,0.0015
305.6,1305.6,0.0000
527.8,1361.1,0.0913
416.7,305.6,0.0000
416.7,1027.8,0.0000
2361.1,1250.0,0.0000
1250.0,1638.9,0.0098
194.4,305.6,0.0000
2416.7,361.1,0.0771
1972.2,1305.6,0.0081
2583.3,83.3,0.0221
861.1,1972.2,0.6589
2305.6,1916.7,0.9000
2805.6,1361.1,0.0000
2250.0,583.3,0.9000
1527.8,638.9,0.0229
361.1,83.3,0.0000
1027.8,83.3,0.1862
